"iteration","term","estimate"
1,"lag1",5.31338452861035
1,"lag2",1.7822009844083
1,"lag3",-0.56757814133584
1,"lag4",2.11227072936723
1,"lag5",-0.429430828763913
1,"lag6",-0.71359620444592
1,"lag7",1.29228764414261
1,"lag8",-1.90646142410567
1,"lag9",-2.21155401125052
1,"lag10",-1.91462904755085
1,"lag11",1.8148449508522
1,"lag12",3.36271453955816
2,"lag1",1.02013803471417
2,"lag2",4.73235243475152
2,"lag3",-0.192777570013482
2,"lag4",0.233068568492542
2,"lag5",0.888072486783042
2,"lag6",1.31468727323074
2,"lag7",0.749588833871156
2,"lag8",-2.19725464987091
2,"lag9",0.182539087695661
2,"lag10",-0.454272287343105
2,"lag11",0.446063965857772
2,"lag12",4.47605919993851
3,"lag1",4.34186706044079
3,"lag2",-1.56538143848841
3,"lag3",0.344189122648126
3,"lag4",4.68102793699888
3,"lag5",-0.489516412994064
3,"lag6",0.620218201492277
3,"lag7",0.235613851241198
3,"lag8",-0.0419010538936321
3,"lag9",2.76517498742167
3,"lag10",-0.812731640265322
3,"lag11",1.84717529705115
3,"lag12",-1.12889464615075
4,"lag1",-2.04377287977195
4,"lag2",-0.0401948480588584
4,"lag3",-1.79129005672979
4,"lag4",0.334755277688885
4,"lag5",-1.03721632868728
4,"lag6",2.06030177133129
4,"lag7",3.7553750216094
4,"lag8",5.94612156390523
4,"lag9",2.2776164179962
4,"lag10",-0.23328215346097
4,"lag11",-0.802213515950206
4,"lag12",-0.320162037351137
5,"lag1",1.87198174421403
5,"lag2",-2.16027042053969
5,"lag3",1.32783533434766
5,"lag4",-1.00842683373691
5,"lag5",-5.04449829031665
5,"lag6",4.55810570478406
5,"lag7",2.97139372715445
5,"lag8",2.30285526087056
5,"lag9",0.358940641701724
5,"lag10",0.873094392595365
5,"lag11",1.78713614407728
5,"lag12",4.20474551214774
6,"lag1",1.32700246304128
6,"lag2",4.75524042469748
6,"lag3",5.63332425821249
6,"lag4",0.507722534519506
6,"lag5",-2.53030059291799
6,"lag6",-0.650711700674028
6,"lag7",-0.503923387908323
6,"lag8",0.170547797834513
6,"lag9",5.63986388379705
6,"lag10",1.19795000800068
6,"lag11",1.47081621972877
6,"lag12",0.447401274882665
7,"lag1",3.07957531363827
7,"lag2",5.03400971141412
7,"lag3",0.632296589862102
7,"lag4",0.998138286152029
7,"lag5",1.75914549766994
7,"lag6",2.90211846231973
7,"lag7",-1.68205346764629
7,"lag8",-2.7934560940698
7,"lag9",-2.05772554429452
7,"lag10",1.6941031315629
7,"lag11",-1.33108252845735
7,"lag12",2.40211412382042
8,"lag1",-2.66865165721982
