"iteration","term","estimate"
37,"lag11",5.30868151750974
37,"lag12",0.870687560588499
38,"lag1",-2.93529147218829
38,"lag2",2.72185036532693
38,"lag3",6.2025746172081
38,"lag4",0.37024816551689
38,"lag5",-1.9567580097074
38,"lag6",1.17755493265582
38,"lag7",-2.68624264715961
38,"lag8",2.17368834988356
38,"lag9",12.9107716227608
38,"lag10",7.06833263707765
38,"lag11",9.13956915136087
38,"lag12",5.69577017126574
39,"lag1",0.00270781796915584
39,"lag2",-0.180375288227382
39,"lag3",4.53674787365425
39,"lag4",1.84665159924851
39,"lag5",0.818554933765403
39,"lag6",1.6354390467363
39,"lag7",3.16114674403194
39,"lag8",1.94224787172096
39,"lag9",-0.419017149219373
39,"lag10",2.03878116377773
39,"lag11",0.997225531779821
39,"lag12",7.46602837864194
40,"lag1",-1.07746619624122
40,"lag2",0.297208138426634
40,"lag3",-0.883942238785881
40,"lag4",3.8466166128428
40,"lag5",2.77732598187089
40,"lag6",-0.778492433506198
40,"lag7",-3.35010102849143
40,"lag8",-2.00922168914378
40,"lag9",3.32211286760401
40,"lag10",5.37508200990822
40,"lag11",5.0245360658508
40,"lag12",2.61757723878377
41,"lag1",0.933069007638473
41,"lag2",1.69893253144347
41,"lag3",3.90759092564245
41,"lag4",0.297099914462421
41,"lag5",2.19067532593499
41,"lag6",1.61426993185998
41,"lag7",1.96280891873116
41,"lag8",0.904222516927696
41,"lag9",4.18592236488002
41,"lag10",3.69617762585903
41,"lag11",6.55835825772559
41,"lag12",1.22133190175213
42,"lag1",-1.17376571686811
42,"lag2",-0.0762717646997241
42,"lag3",-2.42620106741944
42,"lag4",1.5132916597748
42,"lag5",-1.33720597975051
42,"lag6",0.270509341732834
42,"lag7",1.38116077039945
42,"lag8",3.85703208599892
42,"lag9",1.29468744677555
42,"lag10",3.41095229624411
42,"lag11",-2.24353198664846
42,"lag12",-0.787216027425244
43,"lag1",-0.583328902307611
43,"lag2",0.47203168283775
43,"lag3",1.5480403272857
43,"lag4",-3.8400497406661
43,"lag5",1.55051762046681
43,"lag6",-0.409503829535033
43,"lag7",0.00336655316894358
43,"lag8",0.925766711870217
43,"lag9",10.4600759620624
43,"lag10",7.52044452280077
43,"lag11",0.316692487780847
43,"lag12",3.7534764241514
44,"lag1",-1.26640319859693
44,"lag2",-1.73076650452198
44,"lag3",2.19795972269002
44,"lag4",0.941167066785429
44,"lag5",1.06304235288559
44,"lag6",3.44893048349902
44,"lag7",1.59436154047215
44,"lag8",6.0721958676035
44,"lag9",8.33721221521293
44,"lag10",4.45167481205037
44,"lag11",1.31129905805673
44,"lag12",3.4664752798462
45,"lag1",-0.802083413448867
45,"lag2",-0.785189104497428
45,"lag3",0.400597610759341
45,"lag4",-0.747118801802982
45,"lag5",2.04430800572444
45,"lag6",-1.33620866158633
45,"lag7",-0.190569314664323
45,"lag8",3.44706390708828
45,"lag9",2.49705275697627
45,"lag10",3.82478682976217
45,"lag11",3.26240720369417
45,"lag12",2.26815322879505
46,"lag1",0.824975366308023
46,"lag2",1.06206506958519
46,"lag3",0.783736831458576
46,"lag4",0.65346489610361
46,"lag5",-4.10386427811606
46,"lag6",-3.21963182608077
46,"lag7",-1.02706119626378
46,"lag8",-4.39205566955369
46,"lag9",-2.62263611651425
46,"lag10",-1.85579681981724
46,"lag11",4.71535157196533
46,"lag12",-1.61612019901619
47,"lag1",0.348380640530048
47,"lag2",-2.28422859440412
47,"lag3",-1.29036557976852
47,"lag4",4.79056995031371
47,"lag5",1.00265812277458
47,"lag6",2.99449851938152
47,"lag7",2.39655393826573
47,"lag8",-0.569845858791827
47,"lag9",2.12423757964063
47,"lag10",0.114844017793867
47,"lag11",-0.16501075428126
47,"lag12",-2.68773515527818
48,"lag1",1.43294219619745
48,"lag2",-2.13863066331388
48,"lag3",-5.17688066467454
48,"lag4",-3.15029963394211
48,"lag5",-0.356359426758963
48,"lag6",0.133988709709879
48,"lag7",0.177044176260544
48,"lag8",-0.971589528385587
48,"lag9",-1.81074861963434
48,"lag10",-0.74179009155202
48,"lag11",5.49118922208666
48,"lag12",4.54859376213495
49,"lag1",2.09184652963874
49,"lag2",2.21683201570805
49,"lag3",-0.221297645295504
49,"lag4",4.15074491096554
49,"lag5",4.77463144816869
49,"lag6",-0.914695064644217
49,"lag7",0.878725073243903
49,"lag8",1.80558397109637
49,"lag9",1.33590308577854
49,"lag10",-2.05424641890954
49,"lag11",0.254562194232405
49,"lag12",-0.536876754209081
50,"lag1",2.95428887449834
50,"lag2",1.93277717722885
50,"lag3",2.56831791225808
50,"lag4",-1.10072191157792
50,"lag5",-1.02061790616769
50,"lag6",0.126402793248269
50,"lag7",1.42653673997605
50,"lag8",2.52988874880436
50,"lag9",5.23487357356488
50,"lag10",-0.186028065977191
50,"lag11",3.65230265143953
50,"lag12",4.91577904024907
51,"lag1",-3.64011664257813
51,"lag2",-3.48011061551129
51,"lag3",1.06672481055483
51,"lag4",1.12110431456815
51,"lag5",1.07473585844564
51,"lag6",-0.25307918438258
51,"lag7",0.0572858450465302
51,"lag8",-2.05993494848009
51,"lag9",4.04125753432659
51,"lag10",0.735104281154004
51,"lag11",2.29798247369168
51,"lag12",-1.16790180536744
52,"lag1",1.64503145376808
52,"lag2",-1.12996682997835
52,"lag3",-1.99379914758637
52,"lag4",0.0784426353084465
52,"lag5",-0.371322561471492
52,"lag6",1.45828216013082
52,"lag7",6.31068784059543
52,"lag8",1.5566268915245
52,"lag9",2.41182519315244
52,"lag10",1.16443117652867
52,"lag11",1.93890611817587
52,"lag12",1.71080724657351
53,"lag1",-0.0130806228869662
53,"lag2",-2.45689259641506
53,"lag3",2.90132185286255
53,"lag4",-0.877434023631379
53,"lag5",0.0329882819558031
53,"lag6",1.5005002123239
53,"lag7",3.90286402141645
53,"lag8",-2.36816665705792
53,"lag9",0.249323181365961
53,"lag10",4.93604435984372
53,"lag11",2.16210373345192
53,"lag12",1.0031009193411
54,"lag1",-2.00501654791444
54,"lag2",0.161529854116844
54,"lag3",1.9781761846477
54,"lag4",3.02678877901345
54,"lag5",0.254790823432517
54,"lag6",1.83114607163227
54,"lag7",3.10445293997683
