"iteration","term","estimate"
1,"lag1",-0.512999637679617
1,"lag2",-0.248648011342193
1,"lag3",-0.291062756793325
1,"lag4",-1.19801405640172
1,"lag5",0.169032552180222
1,"lag6",2.20398200999005
1,"lag7",3.02972224153469
1,"lag8",-0.217730022061249
1,"lag9",-1.28403067838285
1,"lag10",-3.47172344415015
1,"lag11",0.69476718112368
1,"lag12",1.26017736615711
2,"lag1",2.89009800451492
2,"lag2",5.58209705361412
2,"lag3",1.4648551892587
2,"lag4",2.52502788112373
2,"lag5",-0.768152268243929
2,"lag6",2.39472163830716
2,"lag7",1.62943021540307
2,"lag8",0.0761205876015331
2,"lag9",2.15745249605691
2,"lag10",1.30863342854369
2,"lag11",4.85367783666597
2,"lag12",4.24525458585355
3,"lag1",-2.3552316164774
3,"lag2",-0.0220931428893179
3,"lag3",6.70338129104972
3,"lag4",3.31669114340979
3,"lag5",2.97826830215019
3,"lag6",2.51173509442697
3,"lag7",-1.43183294904693
3,"lag8",0.348071073906779
3,"lag9",0.465206640416764
3,"lag10",4.80308090932275
3,"lag11",7.49693553435954
3,"lag12",3.20114315531989
4,"lag1",1.86215183930915
4,"lag2",-1.29033141483557
4,"lag3",2.04522465497674
4,"lag4",0.18955226493507
4,"lag5",-0.0489707894066914
4,"lag6",5.04291511835147
4,"lag7",6.31143172624124
4,"lag8",2.51158983847165
4,"lag9",2.14733055560779
4,"lag10",-1.21555482211087
4,"lag11",1.43934766562528
4,"lag12",0.0852877175510349
5,"lag1",0.466365672847399
5,"lag2",1.44467552855559
5,"lag3",7.16664177631398
5,"lag4",0.681141814347944
5,"lag5",1.02539927181304
5,"lag6",-0.892219767829045
5,"lag7",8.62687199281312
5,"lag8",-0.993857746803929
5,"lag9",5.31992319504422
5,"lag10",2.49848331612908
5,"lag11",2.39789342639453
5,"lag12",-1.01284012848218
6,"lag1",-1.03099999089278
6,"lag2",-5.95473911731366
6,"lag3",0.091286495046994
6,"lag4",-3.37102541814811
6,"lag5",-0.556636863972936
6,"lag6",0.544533204240923
6,"lag7",2.5507193992256
6,"lag8",-0.774967427797099
6,"lag9",1.22824066764041
6,"lag10",-0.24732504332905
6,"lag11",-1.67808649392426
6,"lag12",-1.43344244403516
7,"lag1",-3.4015777728496
7,"lag2",0.0702833845749554
7,"lag3",10.1134203096077
7,"lag4",-1.19508484797601
7,"lag5",4.7462544049734
7,"lag6",-0.33636033640996
7,"lag7",-1.3113358534525
7,"lag8",-4.10235437406174
7,"lag9",-2.92206389686927
7,"lag10",-4.01081956136268
7,"lag11",0.881811181225692
7,"lag12",-0.211835017993779
8,"lag1",0.943500816846489
8,"lag2",-0.0129178354619133
8,"lag3",3.34605730990783
8,"lag4",2.20300455532149
8,"lag5",-2.44814254073217
8,"lag6",-0.935022885350635
8,"lag7",-1.96610535728685
8,"lag8",-0.390559353954649
8,"lag9",-3.79525245425021
8,"lag10",1.81474467754705
8,"lag11",5.75110163260397
8,"lag12",-3.28556042271512
9,"lag1",4.58309203888398
9,"lag2",3.98149928198864
9,"lag3",1.54828819621037
9,"lag4",-3.68410805644793
9,"lag5",-0.663974179627712
9,"lag6",4.53925607837325
9,"lag7",-1.00732362950382
9,"lag8",2.56166380141925
9,"lag9",3.09176633765787
9,"lag10",2.72188932108407
9,"lag11",8.57545771785423
9,"lag12",3.47006734331538
10,"lag1",-2.0067882947905
10,"lag2",0.941994812018357
10,"lag3",3.18940325081558
10,"lag4",0.603814946963502
10,"lag5",-1.61789987448607
10,"lag6",-3.56678677121138
10,"lag7",5.98702016783221
10,"lag8",-1.45267759118897
10,"lag9",-0.932217486271646
10,"lag10",-3.7584708055109
10,"lag11",0.325583604456741
10,"lag12",-0.0862266293966336
11,"lag1",-3.83838352580789
11,"lag2",-3.66631508568483
11,"lag3",3.39893284008092
11,"lag4",-0.653518824684656
11,"lag5",-0.734289247021399
11,"lag6",1.5170310975852
11,"lag7",1.12333152597269
11,"lag8",-4.22143001484808
11,"lag9",-1.45519321819435
11,"lag10",0.598195210396289
11,"lag11",2.82731559170019
11,"lag12",4.07600879930066
12,"lag1",2.67168380546233
12,"lag2",3.22704160106522
12,"lag3",-0.672093079718786
12,"lag4",2.61555709486421
12,"lag5",4.74824198291653
12,"lag6",4.39495406638374
12,"lag7",2.31331434921561
12,"lag8",1.95330393862891
12,"lag9",-1.43421650537944
12,"lag10",0.423029244982436
12,"lag11",2.86007673078756
12,"lag12",-0.980752590118159
13,"lag1",10.6091298551062
13,"lag2",4.4376425695758
13,"lag3",-0.0266905825776452
13,"lag4",3.84804059338071
13,"lag5",2.3444230509462
13,"lag6",1.51002005120559
13,"lag7",2.66192412961092
13,"lag8",-0.0468742725686657
13,"lag9",2.06408698251584
13,"lag10",4.90112175289076
13,"lag11",5.41763358780954
13,"lag12",2.78704518553675
14,"lag1",-1.46940568497297
14,"lag2",-0.188691288530076
14,"lag3",-0.766875466593404
14,"lag4",-1.26058470560287
14,"lag5",-3.74705361098808
14,"lag6",-3.29355203084322
14,"lag7",-0.644081084309803
14,"lag8",-5.06808747890399
14,"lag9",-4.5694962067762
14,"lag10",0.535622880687884
14,"lag11",-0.538319943732719
14,"lag12",-1.42392282433409
15,"lag1",5.89390213753621
15,"lag2",11.1876243660632
15,"lag3",7.22744473905785
15,"lag4",4.63630332085505
15,"lag5",-4.43111965935716
15,"lag6",1.18269498261886
15,"lag7",4.02940572596884
15,"lag8",0.703135602861143
15,"lag9",-5.55952866805427
15,"lag10",-6.75683263085985
15,"lag11",-2.75766254660725
15,"lag12",-4.1295145297972
16,"lag1",10.671531845314
16,"lag2",6.26210395304521
16,"lag3",1.10908327243221
16,"lag4",0.778438695021416
16,"lag5",-0.799819119471144
16,"lag6",-0.389946431778071
16,"lag7",0.823105012372501
16,"lag8",1.08629826254705
16,"lag9",0.219194995785809
16,"lag10",-1.38364151504408
16,"lag11",-1.89891403198123
16,"lag12",0.235897835964528
17,"lag1",-0.82488299317356
17,"lag2",1.87661382813794
17,"lag3",2.26597051023952
17,"lag4",-0.896773704625549
17,"lag5",3.25384862575422
17,"lag6",1.12996832148734
17,"lag7",-3.07969774851493
17,"lag8",2.04201091088913
17,"lag9",1.78722475480654
17,"lag10",-0.69975836980397
17,"lag11",2.1169325044948
17,"lag12",4.70074753426483
18,"lag1",8.65665052721933
18,"lag2",5.87473453272374
18,"lag3",1.86142957654332
18,"lag4",0.310502782716124
18,"lag5",-1.99398044104308
18,"lag6",1.78150862580445
18,"lag7",2.21488143134727
18,"lag8",5.29178277825644
18,"lag9",1.17459011273311
18,"lag10",0.728853161991716
18,"lag11",1.873027221562
18,"lag12",5.37353733473666
19,"lag1",-0.299438796935724
19,"lag2",-2.43444989789069
19,"lag3",1.66025327217882
19,"lag4",-1.17162161167278
19,"lag5",-5.60930627589399
19,"lag6",1.69518168021429
19,"lag7",-1.45030639856428
19,"lag8",-3.7191074384529
19,"lag9",-1.81179333451791
19,"lag10",3.38953665934592
19,"lag11",6.15566613902969
19,"lag12",3.79673340195038
20,"lag1",3.57691263116823
20,"lag2",6.36774886616978
20,"lag3",8.90055086996758
20,"lag4",0.431803773213909
20,"lag5",3.03286776800869
20,"lag6",2.19058776382983
20,"lag7",6.18489574341148
20,"lag8",8.13763508639896
20,"lag9",1.92705288345273
20,"lag10",-3.18730326838636
20,"lag11",-0.601236282999492
20,"lag12",-3.19598617138785
21,"lag1",-0.773157415161687
21,"lag2",-3.71295673926986
21,"lag3",0.398073640934407
21,"lag4",2.91324929165584
21,"lag5",2.41590272154596
21,"lag6",1.12047770714915
21,"lag7",-0.712325479891863
21,"lag8",-2.49742442203059
21,"lag9",-1.75406472552674
21,"lag10",2.16458595324922
21,"lag11",2.53508907877091
21,"lag12",1.1678918284157
22,"lag1",2.83152931274984
22,"lag2",4.97006379487553
22,"lag3",2.73064445145994
22,"lag4",-0.285569925626243
22,"lag5",5.96805731985393
22,"lag6",2.03800516684165
22,"lag7",-1.06981556572548
22,"lag8",-2.61757297162072
22,"lag9",-2.37788499410951
22,"lag10",-2.23660906892788
22,"lag11",6.76771390973544
22,"lag12",3.69922787568688
23,"lag1",2.38012553474262
23,"lag2",2.57280269653754
23,"lag3",-2.45236886661921
23,"lag4",-1.57647147724729
23,"lag5",-0.776093220784738
23,"lag6",1.45535862471564
23,"lag7",3.19190855404043
23,"lag8",-1.63668061970463
23,"lag9",-1.6611543315631
23,"lag10",1.38422062589741
23,"lag11",6.71999973710085
23,"lag12",2.9031511613832
24,"lag1",7.40788807190706
24,"lag2",4.85883134254474
24,"lag3",2.09506761759898
24,"lag4",0.877060968281768
24,"lag5",-1.11942720705798
24,"lag6",0.763844826800115
24,"lag7",1.27641113536463
24,"lag8",1.45057587096189
24,"lag9",-0.697922089957232
24,"lag10",0.245471109903136
24,"lag11",-0.480664092533236
24,"lag12",-1.53944724014887
25,"lag1",-4.43792244215263
25,"lag2",-7.63792571781037
25,"lag3",4.55090319774523
25,"lag4",-0.790964480882584
25,"lag5",3.6955290213406
25,"lag6",0.552134593280987
25,"lag7",-2.22096514773678
25,"lag8",-0.104713941724114
25,"lag9",0.359882969131305
25,"lag10",2.55928265194172
25,"lag11",-2.9872459571301
25,"lag12",-1.91175662491753
26,"lag1",2.55121955728099
26,"lag2",4.2168609726074
26,"lag3",-0.228568464601477
26,"lag4",-1.7029571702611
26,"lag5",-1.64680269597188
26,"lag6",-0.0911089756566675
26,"lag7",2.06353629244515
26,"lag8",-0.0563509764122685
26,"lag9",-1.5668314126347
26,"lag10",1.02745525172756
26,"lag11",5.02247629914756
26,"lag12",5.30844722767074
27,"lag1",2.35180869320536
27,"lag2",7.11736999855703
27,"lag3",2.93796300467036
27,"lag4",2.23022900505939
27,"lag5",3.59985706040226
27,"lag6",4.79188070324379
27,"lag7",-3.59785668551462
27,"lag8",-3.9454363076799
27,"lag9",-1.29916949353684
27,"lag10",-4.45956277651411
27,"lag11",-0.582601562481309
27,"lag12",-0.158032652170697
28,"lag1",3.39380241124644
28,"lag2",4.52211756097725
28,"lag3",4.7048237260239
28,"lag4",-0.11645675120414
28,"lag5",5.11016477433699
28,"lag6",1.60621988935676
28,"lag7",1.59397496076244
28,"lag8",1.40192618697672
28,"lag9",0.0176194572992621
28,"lag10",1.86088088954939
28,"lag11",3.53029635523914
28,"lag12",5.39259056535854
29,"lag1",-0.499946096665971
29,"lag2",1.20428035688932
29,"lag3",-3.61335832521846
29,"lag4",-0.660183720349629
29,"lag5",2.10854513937505
29,"lag6",2.83526084191899
29,"lag7",2.91859804347689
29,"lag8",1.12036169896219
29,"lag9",-0.646530690959831
29,"lag10",-5.58054363597338
29,"lag11",-2.28985896586838
29,"lag12",1.49433105416027
30,"lag1",-3.28776199344652
30,"lag2",-2.11003819147512
30,"lag3",4.2365161485207
30,"lag4",3.27608658845614
30,"lag5",1.07101682627464
30,"lag6",1.15266945102907
30,"lag7",1.38245478815705
30,"lag8",1.11503095998176
30,"lag9",-5.65118775166602
30,"lag10",-0.893238473777518
30,"lag11",-0.0904150750565784
30,"lag12",-2.54091969111569
31,"lag1",8.95627658432995
31,"lag2",10.3566753861093
31,"lag3",3.03838163432047
31,"lag4",-0.0322228667780823
31,"lag5",5.99977685593174
31,"lag6",1.11890962159875
31,"lag7",2.9284515120711
31,"lag8",3.95513031131806
31,"lag9",-3.24395898701354
31,"lag10",-2.8969243615863
31,"lag11",4.39110869229197
31,"lag12",1.96363895130515
32,"lag1",4.14751041233594
32,"lag2",1.81250480836099
32,"lag3",3.71870651979715
32,"lag4",-0.720309330162203
32,"lag5",2.78340201100348
32,"lag6",0.0627358914116213
32,"lag7",-0.710822199383209
32,"lag8",-0.0188821281861346
32,"lag9",-2.45684092190314
32,"lag10",0.914259417345301
32,"lag11",-2.01910674855321
32,"lag12",0.0468512507250807
33,"lag1",1.40586382735628
33,"lag2",-2.01196235573371
33,"lag3",-0.478939345172314
