"iteration","term","estimate","std_error"
1,"lag1",1.50808154101834,0.443424701513128
1,"lag2",7.3103492186305,0.529102848460766
1,"lag3",8.07825383989939,0.504004579183531
1,"lag4",8.05868241667558,0.494618059021599
1,"lag5",2.7440570728688,0.536186608288658
1,"lag6",1.93580796659296,0.445767030169179
1,"lag7",2.16947209023041,0.447531466815993
1,"lag8",0.394879379754159,0.532487419193842
1,"lag9",0.144507552135619,0.502972657959639
1,"lag10",1.68242580461412,0.494229708443783
1,"lag11",0.714420092700217,0.534347998929618
1,"lag12",1.58095131404974,0.442872119750387
2,"lag1",1.92679468177102,0.577862784847814
2,"lag2",11.1377513226228,0.671858390892637
2,"lag3",12.898613433322,0.665381375984985
2,"lag4",11.5649856567103,0.667038261609882
2,"lag5",2.49575870845225,0.670846540124998
2,"lag6",4.17361409060362,0.581896015219643
2,"lag7",4.78412096668946,0.579831642350362
2,"lag8",2.64577052712266,0.673268138100035
2,"lag9",2.34265178148432,0.667006524646689
2,"lag10",1.83789154727347,0.666727292568104
2,"lag11",0.969926026250845,0.668208039856372
2,"lag12",2.84405618900502,0.579699775078863
3,"lag1",2.33770961340272,0.441859888709455
3,"lag2",5.8180455105977,0.518806241721699
3,"lag3",7.33971253428343,0.509532323442055
3,"lag4",4.61918985556411,0.503538338648255
3,"lag5",-0.138622740237532,0.528231335620573
3,"lag6",0.46490032396811,0.455298239672602
3,"lag7",2.72640682551464,0.455774902394668
3,"lag8",1.02183958969659,0.521748359688701
3,"lag9",1.40265898879092,0.513054007253261
3,"lag10",1.60482514524463,0.501109391896193
3,"lag11",0.607964921733059,0.527082346496001
3,"lag12",-0.479072243085731,0.453336499927534
4,"lag1",2.65294939340111,0.488145623809333
4,"lag2",-0.487528402462774,0.586099355513432
4,"lag3",0.45247408523924,0.540165709849835
4,"lag4",2.11995535982505,0.531633069584804
4,"lag5",0.688038663676194,0.55836527185627
4,"lag6",-0.340446308959212,0.474017152447172
4,"lag7",0.313714726642279,0.492542468798059
4,"lag8",-2.1916867631231,0.589562224306902
4,"lag9",-1.23965056598586,0.538587911597721
4,"lag10",0.339262316686764,0.53362169805596
4,"lag11",-0.766242266347691,0.559103697699265
4,"lag12",-1.03650042797204,0.472548711818603
5,"lag1",0.992031404996321,0.474557040277956
5,"lag2",1.31106635931992,0.584553233939445
5,"lag3",1.26249019897418,0.53532253657251
5,"lag4",2.32475009151428,0.524863662955982
5,"lag5",0.524730272764722,0.533368827568368
5,"lag6",-0.306705281409752,0.461199335461872
5,"lag7",1.7659190903261,0.486957291421959
5,"lag8",-0.209866393454964,0.589231018639247
5,"lag9",-0.036181032895674,0.54064032581157
5,"lag10",3.5186949835719,0.526236893916331
5,"lag11",3.38172452973274,0.536135704188883
5,"lag12",1.49233601586889,0.462680218923147
6,"lag1",1.96755689506442,0.482398288207115
6,"lag2",5.05464487973953,0.552469801198504
6,"lag3",6.48290542911076,0.500682736527821
6,"lag4",5.81442395660861,0.535126881492382
6,"lag5",0.612558421642169,0.577189135096508
6,"lag6",2.00047526570329,0.472427366463437
6,"lag7",1.2639583020923,0.493987183198117
6,"lag8",1.33738274819124,0.558875348266117
6,"lag9",0.95764923008805,0.503616775243272
6,"lag10",0.403952550960766,0.531474005143203
6,"lag11",-0.472076028460865,0.575785503835165
6,"lag12",1.12608900493699,0.471369772744421
7,"lag1",4.61230856465746,0.53661660255683
