"iteration","term","estimate","std_error"
9,"lag10",-1.16899582611968,0.59274880918366
9,"lag11",-0.953158295150805,0.533941694406675
9,"lag12",-0.32509531361527,0.526092277027246
10,"lag1",8.0324237824085,0.648250379686654
10,"lag2",2.68065452642834,0.751870944262303
10,"lag3",6.41036549479038,0.713085179717998
10,"lag4",0.708278830390036,0.6835133001478
10,"lag5",-0.0227787818216517,0.635277227001709
10,"lag6",1.33114283357154,0.6078609004481
10,"lag7",-0.310799810773219,0.656627780449337
10,"lag8",1.76471560378961,0.765837019936353
10,"lag9",-0.296673481954689,0.742113050938134
10,"lag10",-0.505288243246284,0.694582246589022
10,"lag11",-0.724047197128775,0.640777503127575
10,"lag12",-1.47289114991573,0.618218856090529
11,"lag1",4.53608788924566,0.472400994555933
11,"lag2",-0.890632062465591,0.559965897741187
11,"lag3",0.231833847209522,0.612202080004184
11,"lag4",0.133570859746032,0.550879961452543
11,"lag5",0.893151140763903,0.47861681830702
11,"lag6",3.18609668382225,0.463362715130779
11,"lag7",2.84381947181511,0.485893103163078
11,"lag8",-0.481169242357961,0.576087448036784
11,"lag9",-0.942488823908389,0.630751746504948
11,"lag10",-0.964824543530955,0.561125896058033
11,"lag11",0.664052763957391,0.473918281856888
11,"lag12",-0.852190778242718,0.462126382039278
12,"lag1",5.73684869179713,0.524150731180671
12,"lag2",0.0260478089213501,0.622012901958601
12,"lag3",3.55777809580346,0.634019805371644
12,"lag4",-2.05285489275677,0.571190968978706
12,"lag5",1.23142535496947,0.516260019948948
12,"lag6",8.69595244471492,0.513598980273985
12,"lag7",9.78775413197907,0.531591416643452
12,"lag8",0.476711406128899,0.63724391149217
12,"lag9",1.80344298038689,0.642496501204013
12,"lag10",2.29587311480073,0.579321199692184
12,"lag11",1.9411804946896,0.516404347590898
12,"lag12",0.871626641868563,0.515125812174739
13,"lag1",5.11038592452466,0.541296261576461
13,"lag2",1.49879092408284,0.651022544235637
13,"lag3",2.63736645071617,0.678108900250533
13,"lag4",-1.61248823657544,0.600858751239536
13,"lag5",0.190581536867057,0.540991783136692
13,"lag6",4.95387278302119,0.528237500071877
13,"lag7",4.4791762916077,0.55416160386357
13,"lag8",1.07332265713706,0.668103494734228
13,"lag9",-0.107866060731565,0.693012533535231
13,"lag10",0.372775777541362,0.607822531928531
13,"lag11",0.206752703308661,0.540999756088839
13,"lag12",-0.53907318591758,0.531930519499345
14,"lag1",5.23223872901743,0.535771615189414
14,"lag2",1.00416035891301,0.639646642798978
14,"lag3",3.85457110551363,0.627169865291939
14,"lag4",1.83185530037531,0.566721058882653
14,"lag5",-0.436591278574675,0.529183152961837
14,"lag6",0.287561127900196,0.528377552597096
14,"lag7",-0.296422238703082,0.553837301323783
14,"lag8",1.05179509944218,0.664424938370496
14,"lag9",0.240538159783135,0.647924290143284
14,"lag10",0.358876165173666,0.573145270680499
14,"lag11",-0.100911089816186,0.527983374789896
14,"lag12",-1.14383987131926,0.527687862634807
15,"lag1",5.61474273860272,0.514385214559375
15,"lag2",2.49419447832016,0.646460765178094
15,"lag3",5.73643823198904,0.678906085270321
15,"lag4",0.0555396370495036,0.582019274433764
15,"lag5",2.55791606595971,0.509918581259214
15,"lag6",8.43171292273332,0.502673879343272
15,"lag7",8.30297235986905,0.52416173776768
15,"lag8",0.797303989973228,0.666120980908834
15,"lag9",2.23609099691964,0.700368039536625
15,"lag10",2.05877706388549,0.588199528397546
15,"lag11",1.03364307568012,0.507167125611104
15,"lag12",1.38766933485994,0.504661438542778
16,"lag1",9.87907624203148,0.539183674249044
16,"lag2",2.96399935317107,0.646165201726273
16,"lag3",6.04793642480495,0.660049029139662
16,"lag4",0.0136226059628203,0.591422104328779
16,"lag5",0.148029116928455,0.513065474209056
16,"lag6",0.180265376898057,0.506138157314069
16,"lag7",1.71323194358181,0.55222016533549
16,"lag8",1.69220855192729,0.661080816680525
16,"lag9",0.969519652994564,0.674805834148844
16,"lag10",-0.245932589629591,0.596017465207677
16,"lag11",0.520690115604666,0.512342346877485
16,"lag12",0.0200207883691825,0.508158211219084
17,"lag1",5.83822941568804,0.584669784214416
17,"lag2",1.29792494403332,0.734868668827854
17,"lag3",7.99108321357283,0.765150430813878
17,"lag4",0.0911244569036003,0.672924859569042
17,"lag5",3.68230932491029,0.582171799854441
17,"lag6",9.44422852421184,0.559689188863853
17,"lag7",9.25276637674239,0.599514135672252
17,"lag8",1.38359310535377,0.741478102308418
17,"lag9",1.577896680566,0.777652740486386
17,"lag10",2.31282629158832,0.677666348860278
17,"lag11",0.93568040768499,0.584876848686878
17,"lag12",1.02930543538017,0.567175222035527
18,"lag1",5.966965574869,0.526428439017439
18,"lag2",0.427432888793931,0.625839347761599
18,"lag3",2.81632642496396,0.62809672622435
18,"lag4",-0.0265770754480273,0.553262708147811
18,"lag5",1.88849932154601,0.536975143247147
18,"lag6",5.63396082770129,0.538880300873555
18,"lag7",5.11388445431295,0.536794707849594
18,"lag8",0.317376768099128,0.649263870472512
18,"lag9",0.848485461149614,0.644980553788684
18,"lag10",1.80951425567642,0.563082849775963
18,"lag11",0.576583074493318,0.533878035763046
18,"lag12",0.884840416299339,0.540211295872021
19,"lag1",5.30953655736827,0.51845514896976
19,"lag2",-1.29900366528417,0.631563866618657
19,"lag3",4.6746298168821,0.641438922490035
19,"lag4",2.25028925353361,0.57764777570295
19,"lag5",3.13801043952522,0.513658181830644
19,"lag6",3.68165965679832,0.495370419075277
19,"lag7",2.79560484515516,0.532428108041473
19,"lag8",0.885777387125652,0.640953153294957
19,"lag9",0.837265539615063,0.650955626938432
19,"lag10",1.58785778610021,0.583545213267451
19,"lag11",0.719740569828622,0.510671886296624
19,"lag12",-0.0338916281926587,0.496035167856705
20,"lag1",7.90345341237844,0.503488179741006
20,"lag2",2.03281883435356,0.618596843941398
20,"lag3",2.70472939628543,0.625946897218626
20,"lag4",0.877953121202928,0.551520679176306
20,"lag5",2.18025713188811,0.500680703405754
20,"lag6",3.60017912005295,0.486603366931629
20,"lag7",3.5539321933652,0.51325255129594
20,"lag8",1.94916462484138,0.631335808429218
20,"lag9",0.33774547863442,0.633690631358052
20,"lag10",2.60693291770429,0.554687797313143
20,"lag11",1.11763724756697,0.500357930740263
20,"lag12",1.32804093999622,0.487368830680044
21,"lag1",7.90637221892672,0.493357504077928
21,"lag2",1.51184953033267,0.554046630077934
21,"lag3",3.83321898122514,0.601832667547493
21,"lag4",2.49837365416931,0.559022799280862
21,"lag5",0.809130951914738,0.510012346956007
21,"lag6",0.717577676524442,0.48919714479234
21,"lag7",0.350512309294594,0.504719105041884
21,"lag8",0.576591943872198,0.578560338081373
21,"lag9",0.649314906417436,0.632527844122037
21,"lag10",-0.206804941526688,0.579929091989943
21,"lag11",1.34148869216058,0.513787440944135
21,"lag12",2.05559751014429,0.491835488206784
22,"lag1",5.69590880879422,0.547631460471131
22,"lag2",0.183911172538988,0.654942830325832
22,"lag3",2.64621365672931,0.640134814761686
22,"lag4",-0.594941027245521,0.578726280023475
22,"lag5",2.39947223226066,0.521859746690804
22,"lag6",8.01359296409522,0.508175342699953
22,"lag7",8.5699322802033,0.553225795784735
22,"lag8",-0.459334502869328,0.666469979501857
22,"lag9",0.217795908795168,0.641395765772788
22,"lag10",0.770393369652323,0.579083570931762
